,Tweet Text,Tweet Datetime,Tweet Id,Twitter Name,Tweet Coordinates,Place Info,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id Str,Quote Status Bool
38,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 19:36:48+00:00,1508890941431726089,thankgodthatso2,,,40,0,en,Twitter Web App,,,False
39,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 19:34:33+00:00,1508890372444884992,Simon67Jenkins,,,66,0,en,Twitter for iPhone,,,False
40,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 19:32:49+00:00,1508889936967049216,VanStreetDog,,,66,0,en,Twitter for iPhone,,,False
41,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 19:32:04+00:00,1508889747988525056,canadianglen,,,66,0,en,Twitter Web App,,,False
42,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 19:24:22+00:00,1508887812346687498,AnnSmit45836518,,,66,0,en,Twitter Web App,,,False
43,"RT @CaulfieldTim: Nice to see this policy action! 🙏

BC doctor accused of spreading #COVID19 #misinformation suspended from practice  https…",2022-03-29 19:03:23+00:00,1508882527959715843,IR_AMauntie,,,40,0,en,Twitter for iPhone,,,False
44,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 18:29:51+00:00,1508874091817807873,ginabap,,,66,0,en,Twitter Web App,,,False
45,"RT @TechARP: Did #FooFighters drummer, @TaylorHawkins, die from #COVID19 #vaccine-induced #myocarditis?!

Here are the #facts : https://t.c…",2022-03-29 18:14:58+00:00,1508870344836321285,CalFactCheck,,,2,0,en,Cal Fact Check,,,False
46,RT @picardonhealth: B.C. doctor accused of spreading #COVID19 #misinformation suspended from practice. Dr. Stephen Malthouse has appeared a…,2022-03-29 18:06:19+00:00,1508868168701423616,leeshutterbug,,,66,0,en,Twitter for Android,,,False
47,"RT @TechARP: Did #FooFighters drummer, @TaylorHawkins, die from #COVID19 #vaccine-induced #myocarditis?!

Here are the #facts : https://t.c…",2022-03-29 17:49:50+00:00,1508864020786597889,dytiaaurinh,,,2,0,en,Twitter for iPhone,,,False
48,"Did #FooFighters drummer, @TaylorHawkins, die from #COVID19 #vaccine-induced #myocarditis?!

Here are the #facts :… https://t.co/djTRYGitfF",2022-03-29 17:49:20+00:00,1508863895804715008,TechARP,,,2,2,en,Twitter Web App,,,False
